Borehole,X,Y,Z,formation
NT-MW20-8,487379.258,5147487.331,298.68,Organics
NT-MW20-8,487379.258,5147487.331,297.86,Sand/Silt/Till1
NT-MW20-8,487379.258,5147487.331,291.44,Bedrock
NT-MW21-10,487396.729,5147463.826,287.51,Bedrock
NT-MW22-9,487367.603,5147577.135,297.58,Organics
NT-MW22-9,487367.603,5147577.135,297.48,Sand/Silt/Till1
NT-MW22-9,487367.603,5147577.135,295.68,Clay
NT-MW22-9,487367.603,5147577.135,284.14,Bedrock
NT-MW23-10,487390.523,5147661.184,295.61,Clay
NT-MW23-10,487390.523,5147661.184,294.77,Sand/Silt/Till2
NT-MW23-10,487390.523,5147661.184,287.35,Bedrock
NT-MW23-3,487391.089,5147658.747,295.13,Clay
NT-MW-24-9,487608.337,5147759.903,296.85,Organics
NT-MW-24-9,487608.337,5147759.903,288.58,Bedrock
NT-MW25-10,487765.922,5147894.381,293.59,Sand/Silt/Till1
NT-MW25-10,487765.922,5147894.381,292.83,Clay
NT-MW25-10,487765.922,5147894.381,292.22,Cobbles
NT-MW25-10,487765.922,5147894.381,284.52,Bedrock
NT-MW26-15,488177.4385,5148285.734,287.62,Clay
NT-MW26-15,488177.4385,5148285.734,282.34,Sand/Silt/Till2
NT-MW26-15,488177.4385,5148285.734,279.14,Cobbles
NT-MW26-15,488177.4385,5148285.734,275.34,Bedrock
NT-MW26-8,488179.8399,5148285.744,287.71,Clay
NT-MW26-8,488179.8399,5148285.744,282.43,Sand/Silt/Till2
NT-MW26-8,488179.8399,5148285.744,280.04,Cobbles
NT-MW27-12,488148.115,5148281.634,287.25,Clay
NT-MW27-12,488148.115,5148281.634,283.07,Sand/Silt/Till2
NT-MW27-12,488148.115,5148281.634,277.9,Bedrock
NT-MW27-6,488148.1874,5148281.607,283.29,Clay
NT-MW27-6,488148.1874,5148281.607,277.9,Bedrock
NT-MW28-10,488872.02,5148599.114,303.74,Sand/Silt/Till1
NT-MW28-10,488872.02,5148599.114,303.13,Clay
NT-MW28-10,488872.02,5148599.114,302.57,Sand/Silt/Till2
NT-MW28-10,488872.02,5148599.114,294.8,Bedrock
NT-MW29-10,488661.235,5148391.267,297.85,Clay
NT-MW29-10,488661.235,5148391.267,288.96,Bedrock
NT-MW30-7,487302.524,5147438.199,296.61,Clay
NT-MW30-7,487302.524,5147438.199,291.1,Bedrock
NT-MW31-21,487346.672,5147543.586,296.84,Clay
NT-MW31-21,487346.672,5147543.586,296.56,Sand/Silt/Till2
NT-MW31-21,487346.672,5147543.586,278.45,Bedrock
NT-MW31-3,487345.88,5147543.336,296.81,Clay
NT-MW31-3,487345.88,5147543.336,296.53,Sand/Silt/Till2
NT-MW31-3,487345.88,5147543.336,278.38,Bedrock
NT-TW1,487376.583,5147501.536,299.34,ConcreteCrush
NT-TW1,487376.583,5147501.536,298.12,Sand/Silt/Till1
NT-TW1,487376.583,5147501.536,280.69,Bedrock
NT-TW2,487357.429,5147573.882,297.83,ConcreteCrush
NT-TW2,487357.429,5147573.882,292.46,Sand/Silt/Till1
NT-TW2,487357.429,5147573.882,276.12,Bedrock
NT-TW3,488152.922,5148269.793,288.99,Sand/Silt/Till1
NT-TW3,488152.922,5148269.793,279.29,Clay
NT-TW3,488152.922,5148269.793,264.28,Bedrock
NT-TW4,488870.286,5148617.201,304.16,Sand/Silt/Till1
NT-TW4,488870.286,5148617.201,288.45,Bedrock
NT-TW5,488674.623,5148390.452,296.94,Sand/Silt/Till1
NT-TW5,488674.623,5148390.452,281.06,Bedrock
NS14-01 BC/BR,487389,5147480,297.07,Sand/Silt/Till1
NS14-01 BC/BR,487389,5147480,237.46,Bedrock
NS14-02 BC/BR,487365,5147596,294.64,Sand/Silt/Till1
NS14-02 BC/BR,487365,5147596,236.82,Bedrock
NN-MW7-4,489030.55,5149000.63,301.82,ConcreteCrush
NN-MW7-4,489030.55,5149000.63,300.82,Sand/Silt/Till1
NN-MW7-4,489030.55,5149000.63,299,Cobbles
NN-MW7-8,489030.56,5149004.06,301.77,ConcreteCrush
NN-MW7-8,489030.56,5149004.06,300.77,Sand/Silt/Till1
NN-MW7-8,489030.56,5149004.06,299.22,Cobbles
NN-MW7-8,489030.56,5149004.06,294.53,Bedrock
NN-MW7-25,489030.43,5149002.14,301.81,ConcreteCrush
NN-MW7-25,489030.43,5149002.14,300.81,Cobbles
NN-MW7-25,489030.43,5149002.14,248.35,Bedrock
NN-MW8-2,489388.31,5149244.93,303.01,Organics
NN-MW8-2,489388.31,5149244.93,303,Bedrock
NN-MW8-24,489383.49,5149248.45,303.55,Sand/Silt/Till1
NN-MW8-24,489383.49,5149248.45,278.7,Bedrock
NN-MW8-36,489383.04,5149246.46,303.62,Sand/Silt/Till1
NN-MW8-36,489383.04,5149246.46,268.15,Bedrock
CN-MW20A-4,485409.14,5147100.31,301.36,Sand/Silt/Till1
CN-MW20A-4,485409.14,5147100.31,298.11,Bedrock
CN-MW22-6,485590.15,5147057.68,299.02,Sand/Silt/Till1
CN-MW22-6,485590.15,5147057.68,295.69,Bedrock
CN-MW23-6,485692.43,5146984.28,300.62,Sand/Silt/Till1
CN-MW23-6,485692.43,5146984.28,297.45,Bedrock
CN-MW24-5,485889.25,5146903.31,302.64,Sand/Silt/Till1
CN-MW24-5,485889.25,5146903.31,299.47,Bedrock
CN-MW26-4,485979.51,5146815.94,300.56,Sand/Silt/Till1
CN-MW26-4,485979.51,5146815.94,296.92,Bedrock
CN-MW27-6,485224.63,5146799.89,300.43,Organics
CN-MW27-6,485224.63,5146799.89,298.24,Sand/Silt/Till1
CN-MW27-6,485224.63,5146799.89,297.71,Cobbles
CN-MW27-6,485224.63,5146799.89,295.58,Bedrock
CN-MW28-6,485307.64,5146881.58,299.57,Organics
CN-MW28-6,485307.64,5146881.58,296.62,Sand/Silt/Till1
CN-MW28-6,485307.64,5146881.58,294.77,Bedrock
CN-MW29-4,485530.16,5146924.33,301.09,Organics
